word,weight
防控,1779.6438766177835
疫情,1767.5923775296899
中国,877.9069764505222
人民,711.5598346697184
报道,563.8421050179951
图片,555.3457546530323
抗疫,434.29697514855957
发展,418.72171738084654
复工,409.96348617834025
来自,385.9073212385055
力量,375.9697007709964
英雄,334.9841887459018
总统,322.37148914100675
习近平,316.6313913812647
来论,313.3810916152916
经济,297.8775219175126
抓好,297.2511124908198
时代,286.20142293077345
建议,280.0
召开,244.39246035501478
脱贫,236.49110213569185
武汉,234.18670493250966
复产,225.22041686954182
国家,223.21896546164302
新春,222.18191079549553
工作,221.6184422677757
基层,221.20427649405528
联控,218.12472476040745
国务院,215.50173671535214
生活,204.02965274018283
城市,203.17111700186865
今日,200.3997325959481
春节,189.90697739321118
总书记,188.65815676274846
群众,178.20895987267212
制度,174.39254614277226
文化,173.87998416049936
攻坚,170.69110520470892
助力,170.21239552385103
回家,169.77457601243066
全面,166.03308237464367
温暖,160.90288547085748
峥嵘岁月,160.0
故事,156.11622937801476
社会,154.14947409408228
保障,151.99350257260906
生命,150.34571762991467
社区,150.2421265963702
创新,149.0271491091608
打赢,148.8023076204161
治理,146.02642605401786
患难见真情,144.7457501976539
战胜,144.32017700312107
担当,142.6211433274466
统筹,141.96700696145535
应收,141.47657251946168
书写,140.15287987858662
有序,137.93818135391007
金台,137.71760882312716
心声,133.33333333333331
使命,132.13217652132587
青春,130.8884161609186
合作,128.60569544927625
主持,127.354801679855
肺炎,126.75815421767881
提供,126.65643893095287
凝聚,126.12093025734517
防疫,124.57452774339288
企业,124.16800546240523
医务人员,122.32931765590037
大使,122.01282766970142
任免,121.83489152811373
做好,121.74179345765027
建设,121.10378413165151
信心,121.0983700675325
科学,120.93956989172017
优势,119.54757642128351
大家,117.98288375933289
国际,117.28480635544325
医院,115.63447926647628
阻击战,114.58814664141089
联防,114.47676252468615
推进,113.80090834125869
战疫,112.99675370721569
斗争,111.13314036239396
守护,110.45919450396416
特色,109.84541695815356
抗击,109.38180694440041
战斗,108.61826905995099
评论员,106.56920432538251
奋战,105.44826235456289
人类,104.06091641973296
精准,102.05174160530083
改革,101.95180206866758
高质量,100.91158626378791
驰援,100.48045815335661
贡献,100.37604899343954
法治,100.12532233675478
美丽,99.91041460901728
主席,99.01034163813407
保护,97.7293013934835
举行,96.98636026335123
加强,95.64222786517766
